times,raw,kf
0.36999999999999744,35,34.917746759720835
0.39000000000000057,34,34.1678209234109
0.6300000000000026,60,55.521621562288544
0.6499999999999986,59,61.73615241827185
0.6700000000000017,59,64.04080048699382
0.6799999999999997,59,64.89420043681167
0.7100000000000009,59,65.13740023772415
0.7299999999999969,60,65.52315554137752
0.75,60,65.63880473074568
0.7999999999999972,61,65.9564087144223
0.8200000000000003,61,66.09681682714007
0.8599999999999994,61,66.12940303018271
0.8800000000000026,60,65.82025559794042
0.9200000000000017,59,65.27606729111203
0.9399999999999977,59,64.80942590054917
0.9600000000000009,58,64.17607644863945
0.9799999999999969,57,63.42053004627036
1.0,57,62.780106564772275
1.0200000000000031,56,62.03637959138416
1.0399999999999991,56,61.4002777681282
1.0700000000000003,55,60.673364475085506
1.1000000000000014,53,59.70333747872253
1.1400000000000006,51,58.53642268324964
1.1700000000000017,50,57.36703114716949
1.2100000000000009,48,56.04403299877584
1.2299999999999969,46,54.5930470837817
1.25,44,53.0345169511751
1.25,44,51.661094382949145
1.2899999999999991,43,50.312834801685796
1.3100000000000023,41,48.85671174508695
1.3299999999999983,41,47.56098956664892
1.3699999999999974,40,46.28203678154955
1.3900000000000006,39,45.01814497855354
1.4200000000000017,38,43.7677741857153
1.4399999999999977,39,42.75905944171665
1.4799999999999969,37,41.62816917165664
1.5,37,40.60846489990545
1.5200000000000031,37,39.68846646532826
1.5600000000000023,36,38.75221278541869
1.5799999999999983,36,37.9054795023567
1.6000000000000014,37,37.24239005001426
1.6199999999999974,37,36.64548666551605
1.6599999999999966,40,36.40734383250228
1.6799999999999997,43,36.49753453284138
1.7199999999999989,46,36.888947064048956
1.740000000000002,2,33.0601868501904
1.7800000000000011,50,34.04101768987786
1.7999999999999972,51,35.07356753839355
1.8200000000000003,53,36.24667925325639
1.8400000000000034,54,37.458460221114706
1.8599999999999994,56,38.79690762872123
1.8900000000000006,58,40.25257114128679
1.9099999999999966,59,41.72621502004936
1.9500000000000028,61,43.304429036049854
1.9699999999999989,3,39.63759032536223
2.009999999999998,66,41.75062737855197
2.030000000000001,68,43.93539418101929
2.0700000000000003,72,46.36127176916576
2.0900000000000034,76,49.013315004933936
2.1099999999999994,78,51.7033038822918
2.1300000000000026,80,54.42737061972642
2.1499999999999986,78,56.8345037571291
2.1700000000000017,80,59.2830657641385
2.1899999999999977,80,61.595232795375544
2.229999999999997,78,63.602264193723606
2.259999999999998,78,65.48806705076353
2.299999999999997,76,67.08510631943626
2.3200000000000003,73,68.32070841262988
2.3599999999999994,69,69.12618322595206
2.3800000000000026,66,69.606792758084
2.3999999999999986,3,64.66670404350818
2.4200000000000017,60,64.77062767282136
2.4399999999999977,58,64.67744668813947
2.460000000000001,53,64.14135270833738
2.479999999999997,50,63.35371941377324
2.520000000000003,48,62.413246670114326
2.539999999999999,44,61.1597159100303
2.5799999999999983,42,59.780240062871236
2.6000000000000014,42,58.45305751064555
2.6499999999999986,40,57.008872700883934
2.6700000000000017,39,55.53992249631088
2.6899999999999977,39,54.13402170895558
2.710000000000001,38,52.70506532287427
2.729999999999997,39,51.425571480716286
2.75,39,50.20666888622418
2.770000000000003,41,49.21793511651585
2.8100000000000023,43,48.45167210865386
2.8299999999999983,43,47.72986419920947
2.8699999999999974,48,47.476469515886535
2.8900000000000006,51,47.5014492288885
2.9299999999999997,56,47.96220909363662
2.950000000000003,57,48.49911360394468
2.969999999999999,59,49.192594447092446
3.0,62,50.11970971513529
3.020000000000003,62,51.01354885938469
3.039999999999999,64,52.04359924939385
3.0600000000000023,65,53.11680364981093
3.1000000000000014,66,54.22888454103652
3.1199999999999974,69,55.545790723232045
3.1599999999999966,73,57.140996869266836
3.1799999999999997,72,58.57454769283645
3.219999999999999,68,59.59626740318218
3.240000000000002,67,60.47764772312628
3.259999999999998,68,61.39364944237882
3.280000000000001,65,62.001939727206675
3.299999999999997,64,62.48492944128616
3.3200000000000003,61,62.67753694873862
3.3500000000000014,62,62.932464321158015
3.3900000000000006,58,62.8223433732588
3.4099999999999966,56,62.53399771567362
3.450000000000003,57,62.33103699468184
3.450000000000003,57,62.125704304595196
3.509999999999998,53,61.5798162086653
3.530000000000001,52,60.963606401445624
3.549999999999997,50,60.196375626209466
3.5700000000000003,48,59.2848901053688
3.5900000000000034,45,58.151115637589555
3.6099999999999994,42,56.805709861020624
3.6300000000000026,42,55.51552079631928
3.6700000000000017,48,54.79384457450467
3.6899999999999977,50,54.27791474690573
3.719999999999999,57,54.38829300622873
3.759999999999998,58,54.58511460289388
3.799999999999997,62,55.12114510941458
3.8200000000000003,65,55.895316268766244
3.8400000000000034,71,57.15388066242671
3.8599999999999994,77,58.87516311832117
3.8800000000000026,77,60.52122548537048
3.8999999999999986,82,62.522031637581705
3.9200000000000017,84,64.60013685953922
3.960000000000001,92,67.26456885146904
3.979999999999997,92,69.7948849103331
4.020000000000003,92,72.19187892217685
4.039999999999999,92,74.45760504456908
4.07,92,76.59465315748906
4.109999999999999,87,78.17661107112203
4.130000000000003,84,79.39837241673035
4.149999999999999,87,80.79020976578487
4.170000000000002,91,82.42960849966072
4.189999999999998,86,83.53207097576323
4.210000000000001,86,84.54935985572287
4.25,85,85.39917465856954
4.270000000000003,85,86.17471020826554
4.310000000000002,83,86.7084098391975
4.329999999999998,83,87.18282872461486
4.369999999999997,82,87.51592731886655
4.390000000000001,87,88.22685597117118
4.409999999999997,87,88.87257961652004
4.43,86,89.3709288645348
4.460000000000001,86,89.81407741941436
4.479999999999997,85,90.11988317380485
4.479999999999997,85,90.38047844939291
